Year,Month,Measurement Index,0,10,100,1100,150,20,200,300,400,5,50,500,700,900
1994,3,9,-21.2271,,-16.6788,-4.12796,,,-13.6918,-10.7246,,,,-6.43386,-4.66048,
1994,3,10,-24.5758,,-16.6164,-4.08963,,,-13.631,-10.7444,,,,-6.43386,-4.66048,
1994,3,11,-22.5581,,-16.7622,-4.10879,,,-13.631,-10.784,,,,-6.49183,-4.69895,
1994,3,12,-23.1824,,-16.8875,-4.08963,,,-13.631,-10.8235,,,,-6.56912,-4.73742,
1994,3,13,-22.5003,,-17.013,-4.12796,,,-13.6918,-10.9027,,,,-6.64644,-4.81435,
1994,3,14,-19.8682,,-17.0758,-4.12796,,,-13.7324,-10.9423,,,,-6.72377,-4.85281,
1994,3,15,-16.8842,,-17.0339,-4.16629,,,-13.7932,-11.0216,,,,-6.82045,-4.92974,
1994,3,16,-17.0117,,-16.6997,-4.16629,,,-13.8338,-11.0613,,,,-6.85913,-4.98743,
1994,3,17,-14.7574,,-16.3673,-4.20461,,,-13.8541,-11.1407,,,,-6.93651,-5.04513,
1994,3,18,-14.3843,,-14.9205,-4.20461,,,-13.8338,-11.1605,,,,-6.99456,-5.06436,
1994,3,19,-16.0396,,-12.5148,-4.20461,,,-13.7729,-11.2002,,,,-7.05262,-5.10282,
1994,3,20,-14.8897,,-14.1453,-4.20461,,,-13.7121,-11.2201,,,,-7.09133,-5.14128,
1994,3,21,-11.4552,,-14.4287,-4.24292,,,-13.6108,-11.2201,,,,-7.1494,-5.16051,
1994,3,22,-10.6225,,-14.028,-4.24292,,,-13.5096,-11.2399,,,,-7.20749,-5.21821,
1994,3,23,-13.1481,,-10.179,-4.24292,,,-13.3883,-11.2201,,,,-7.24622,-5.25667,
1994,3,24,-14.9033,,-10.5843,-4.24292,,,-13.2471,-11.2598,,,,-7.32369,-5.31436,
1994,3,25,-16.5658,,-13.1477,-4.26208,,,-13.1262,-11.2201,,,,-7.36243,-5.35283,
1994,3,26,-17.5468,,-11.2087,-4.24292,,,-12.9854,-11.2201,,,,-7.40119,-5.37206,
1994,3,27,-18.0027,,-9.35795,-4.28124,,,-12.905,-11.1804,,,,-7.43995,-5.41052,
1994,3,28,-18.2628,,-12.8712,-4.28124,,,-12.8248,-11.1605,,,,-7.49809,-5.46822,
1994,3,29,-16.7637,,-12.1218,-4.28124,,,-12.7646,-11.1208,,,,-7.53686,-5.48745,
1994,3,30,-19.5853,,-11.9178,-4.3004,,,-12.7646,-11.0811,,,,-7.57564,-5.54515,
1994,4,0,-20.6245,,-14.1857,-4.28124,,,-12.7445,-11.0613,,,,-7.59504,-5.56438,
1994,4,1,-19.7674,,-14.6488,-4.3004,,,-12.7245,-11.0613,,,,-7.63382,-5.60285,
1994,4,2,-18.303,,-14.8107,-4.31955,,,-12.7646,-11.0613,,,,-7.67262,-5.64131,
1994,4,3,-16.5162,,-14.7703,-4.31955,,,-12.7846,-11.0216,,,,-7.69201,-5.66055,
1994,4,4,-16.587,,-14.6691,-4.3387,,,-12.8248,-11.0216,,,,-7.73082,-5.71826,
1994,4,5,-17.12,,-14.5478,-4.35785,,,-12.8649,-11.0415,,,,-7.76962,-5.75673,
1994,4,6,-16.2672,,-14.7297,-4.35785,,,-12.885,-11.0613,,,,-7.80844,-5.7952,
1994,4,7,-14.4912,,-14.7905,-4.35785,,,-12.885,-11.0811,,,,-7.82785,-5.83368,
1994,4,8,-15.935,,-14.6691,-4.377,,,-12.885,-11.101,,,,-7.84726,-5.85291,
1994,4,9,-16.3881,,-14.568,-4.39615,,,-12.885,-11.101,,,,-7.86667,-5.89139,
1994,4,10,-14.3261,,-14.5478,-4.39615,,,-12.885,-11.1208,,,,-7.90551,-5.94911,
1994,4,11,-14.7739,,-14.3865,-4.39615,,,-12.885,-11.1208,,,,-7.92493,-5.96835,
1994,4,12,-14.5101,,-14.085,-4.43445,,,-12.8448,-11.1407,,,,-7.96377,-5.98759,
1994,4,13,-5.83632,,-10.4707,-4.43445,,,-12.8248,-11.1407,,,,-7.96377,-6.00683,
1994,4,14,-9.04215,,-12.8906,-4.43445,,,-12.7846,-11.1407,,,,-8.00262,-6.04531,
1994,4,15,-10.7177,,-13.0474,-4.4536,,,-12.7245,-11.1407,,,,-8.02205,-6.08379,
1994,4,16,-7.31834,,-12.6716,-4.47275,,,-12.6043,-11.1407,,,,-8.04147,-6.12228,
1994,4,17,-5.66062,,-9.55418,-4.4919,,,-12.5043,-11.1407,,,,-8.08033,-6.14152,
1994,4,18,-5.46866,,-9.18702,-4.51104,,,-12.3645,-11.1208,,,,-8.1192,-6.16077,
1994,4,19,-4.98733,,-8.78106,-4.51104,,,-12.2049,-11.0415,,,,-8.1192,-6.18002,
1994,4,20,-8.09113,,-7.59077,-4.53019,,,-12.0456,-11.0216,,,,-8.13864,-6.21851,
1994,4,21,-7.81888,,-7.0227,-4.53019,,,-11.8468,-10.982,,,,-8.15808,-6.257,
1994,4,22,-9.4724,,-7.1132,-4.53019,,,-11.6484,-10.9225,,,,-8.17752,-6.257,
1994,4,23,-6.8958,,-5.17871,-4.54933,,,-11.4503,-10.8433,,,,-8.19697,-6.2955,
1994,4,24,-5.46826,,-4.53648,-4.54933,,,-11.2922,-10.7642,,,,-8.21641,-6.31475,
1994,4,25,-4.67951,,-10.092,-4.54933,,,-11.1737,-10.7048,,,,-8.23586,-6.334,
1994,4,26,-4.64124,,-8.83939,-4.58762,,,-11.0356,-10.6258,,,,-8.23586,-6.35325,
1994,4,27,-6.37253,,-8.14855,-4.58762,,,-10.8583,-10.527,,,,-8.25531,-6.3725,
1994,4,28,-7.18187,,-8.93427,-4.58762,,,-10.7206,-10.4678,,,,-8.27476,-6.43026,
1994,4,29,-7.37548,,-9.03044,-4.58762,,,-10.5241,-10.3889,,,,-8.27476,-6.43026,
